"","name","short_name","date","lst"
"1","Chail WLS","CL","2001_01_01",11.7023276
"2","Chail WLS","CL","2001_01_09",13.968026
"3","Chail WLS","CL","2001_01_17",14.3063759
"4","Chail WLS","CL","2001_01_25",18.7940456
"5","Chail WLS","CL","2001_02_02",17.7076902
"6","Chail WLS","CL","2001_02_10",20.2905129
"7","Chail WLS","CL","2001_02_18",20.4430712
"8","Chail WLS","CL","2001_02_26",20.3505921
"9","Chail WLS","CL","2001_03_06",21.125153
"10","Chail WLS","CL","2001_03_14",23.9091629
"11","Chail WLS","CL","2001_03_22",24.2879865
"12","Chail WLS","CL","2001_03_30",23.364754
"13","Chail WLS","CL","2001_04_07",28.7787187
"14","Chail WLS","CL","2001_04_15",23.9277832
"15","Chail WLS","CL","2001_04_23",25.8486492
"16","Chail WLS","CL","2001_05_01",30.5850908
"17","Chail WLS","CL","2001_05_09",32.407907
"18","Chail WLS","CL","2001_05_17",25.7673363
"19","Chail WLS","CL","2001_05_25",27.5402777
"20","Chail WLS","CL","2001_06_02",22.215892
"21","Chail WLS","CL","2001_06_10",22.1480301
"22","Chail WLS","CL","2001_07_04",23.8960228
"23","Chail WLS","CL","2001_07_12",20.9383683
"24","Chail WLS","CL","2001_07_20",22.3809731
"25","Chail WLS","CL","2001_07_28",20.8734354
"26","Chail WLS","CL","2001_08_05",22.7809579
"27","Chail WLS","CL","2001_08_13",15.9067478
"28","Chail WLS","CL","2001_08_21",21.761649
"29","Chail WLS","CL","2001_08_29",22.723773
"30","Chail WLS","CL","2001_09_06",23.3109055
"31","Chail WLS","CL","2001_09_14",24.4015949
"32","Chail WLS","CL","2001_09_22",26.1449678
"33","Chail WLS","CL","2001_09_30",23.1804513
"34","Chail WLS","CL","2001_10_08",24.4892543
"35","Chail WLS","CL","2001_10_16",23.5811715
"36","Chail WLS","CL","2001_10_24",23.5141664
"37","Chail WLS","CL","2001_11_01",20.151686
"38","Chail WLS","CL","2001_11_09",21.2201779
"39","Chail WLS","CL","2001_11_17",19.4467488
"40","Chail WLS","CL","2001_11_25",17.5895874
"41","Chail WLS","CL","2001_12_03",17.0998156
"42","Chail WLS","CL","2001_12_11",14.7010693
"43","Chail WLS","CL","2001_12_19",14.5227259
"44","Chail WLS","CL","2001_12_27",13.522399
"45","Chail WLS","CL","2002_01_01",14.2847629
"46","Chail WLS","CL","2002_01_09",17.4986882
"47","Chail WLS","CL","2002_01_17",11.2794571
"48","Chail WLS","CL","2002_01_25",11.7469369
"49","Chail WLS","CL","2002_02_02",12.2481114
"50","Chail WLS","CL","2002_02_10",14.1959896
"51","Chail WLS","CL","2002_02_18",16.1534627
"52","Chail WLS","CL","2002_02_26",15.3774001
"53","Chail WLS","CL","2002_03_06",19.1295585
"54","Chail WLS","CL","2002_03_14",23.8825612
"55","Chail WLS","CL","2002_03_22",26.6467799
"56","Chail WLS","CL","2002_03_30",23.4275915
"57","Chail WLS","CL","2002_04_07",25.0197791
"58","Chail WLS","CL","2002_04_15",28.8177075
"59","Chail WLS","CL","2002_04_23",25.3699913
"60","Chail WLS","CL","2002_05_01",28.1787036
"61","Chail WLS","CL","2002_05_09",31.8449722
"62","Chail WLS","CL","2002_05_17",31.8295855
"63","Chail WLS","CL","2002_05_25",28.2343881
"64","Chail WLS","CL","2002_06_02",28.4635224
"65","Chail WLS","CL","2002_06_10",28.0164962
"66","Chail WLS","CL","2002_06_18",26.8277497
"67","Chail WLS","CL","2002_06_26",23.4014827
"68","Chail WLS","CL","2002_07_04",24.0559933
"69","Chail WLS","CL","2002_07_12",24.412289
"70","Chail WLS","CL","2002_07_20",23.7207316
"71","Chail WLS","CL","2002_07_28",25.8380009
"72","Chail WLS","CL","2002_08_05",23.5484448
"73","Chail WLS","CL","2002_08_13",23.8250725
"74","Chail WLS","CL","2002_08_21",19.4684413
"75","Chail WLS","CL","2002_08_29",23.5586995
"76","Chail WLS","CL","2002_09_06",20.5930909
"77","Chail WLS","CL","2002_09_14",22.3334919
"78","Chail WLS","CL","2002_09_22",23.050972
"79","Chail WLS","CL","2002_09_30",24.8570905
"80","Chail WLS","CL","2002_10_08",22.2518875
"81","Chail WLS","CL","2002_10_16",22.2072914
"82","Chail WLS","CL","2002_10_24",21.6705521
"83","Chail WLS","CL","2002_11_01",20.5199205
"84","Chail WLS","CL","2002_11_09",18.997094
"85","Chail WLS","CL","2002_11_17",19.1419067
"86","Chail WLS","CL","2002_11_25",18.1228746
"87","Chail WLS","CL","2002_12_03",15.5825256
"88","Chail WLS","CL","2002_12_11",17.1152506
"89","Chail WLS","CL","2002_12_19",14.7843649
"90","Chail WLS","CL","2002_12_27",13.4005718
"91","Chail WLS","CL","2003_01_01",12.7556502
"92","Chail WLS","CL","2003_01_09",13.6446047
"93","Chail WLS","CL","2003_01_17",17.0374558
"94","Chail WLS","CL","2003_01_25",13.7161832
"95","Chail WLS","CL","2003_02_02",14.9651276
"96","Chail WLS","CL","2003_02_10",16.1259187
"97","Chail WLS","CL","2003_02_18",15.5573914
"98","Chail WLS","CL","2003_02_26",17.2750541
"99","Chail WLS","CL","2003_03_06",17.4180795
"100","Chail WLS","CL","2003_03_14",19.8943919
"101","Chail WLS","CL","2003_03_22",19.9277132
"102","Chail WLS","CL","2003_03_30",21.5279733
"103","Chail WLS","CL","2003_04_07",27.3257373
