"","elev_zone","layer","date","lst"
"1","301-400",1,"2001_01_01",15.2194783
"2","301-400",1,"2001_01_09",12.7499556
"3","301-400",1,"2001_01_17",19.4863696
"4","301-400",1,"2001_01_25",22.9312826
"5","301-400",1,"2001_02_02",22.6655652
"6","301-400",1,"2001_02_10",24.590913
"7","301-400",1,"2001_02_18",25.0908696
"8","301-400",1,"2001_02_26",27.9743913
"9","301-400",1,"2001_03_06",28.1852826
"10","301-400",1,"2001_03_14",32.7738261
"11","301-400",1,"2001_03_22",33.595913
"12","301-400",1,"2001_03_30",33.4174348
"13","301-400",1,"2001_04_07",38.3291522
"14","301-400",1,"2001_04_15",35.8908913
"15","301-400",1,"2001_04_23",42.088413
"16","301-400",1,"2001_05_01",38.736087
"17","301-400",1,"2001_05_09",39.2332826
"18","301-400",1,"2001_05_17",38.7205652
"19","301-400",1,"2001_05_25",37.9465435
"20","301-400",1,"2001_06_02",33.2601957
"21","301-400",1,"2001_06_10",38.2623696
"22","301-400",1,"2001_07_04",31.716087
"23","301-400",1,"2001_07_12",NA
"24","301-400",1,"2001_07_28",28.9991087
"25","301-400",1,"2001_08_05",32.3952871
"26","301-400",1,"2001_08_13",28.6265435
"27","301-400",1,"2001_08_21",29.1940435
"28","301-400",1,"2001_08_29",30.1681739
"29","301-400",1,"2001_09_06",30.2490652
"30","301-400",1,"2001_09_14",31.938
"31","301-400",1,"2001_09_22",33.4181957
"32","301-400",1,"2001_09_30",32.1172609
"33","301-400",1,"2001_10_08",30.6935652
"34","301-400",1,"2001_10_16",30.2095217
"35","301-400",1,"2001_10_24",28.156
"36","301-400",1,"2001_11_01",27.7538478
"37","301-400",1,"2001_11_09",28.0724348
"38","301-400",1,"2001_11_17",26.2083043
"39","301-400",1,"2001_11_25",24.957413
"40","301-400",1,"2001_12_03",22.9288696
"41","301-400",1,"2001_12_11",20.395
"42","301-400",1,"2001_12_19",20.5195
"43","301-400",1,"2001_12_27",15.7107541
"44","301-400",1,"2002_01_01",19.1038478
"45","301-400",1,"2002_01_09",21.7056522
"46","301-400",1,"2002_01_17",19.273587
"47","301-400",1,"2002_01_25",19.2667391
"48","301-400",1,"2002_02_02",21.5271087
"49","301-400",1,"2002_02_10",19.8424783
"50","301-400",1,"2002_02_18",24.8280435
"51","301-400",1,"2002_02_26",22.7525435
"52","301-400",1,"2002_03_06",25.9836522
"53","301-400",1,"2002_03_14",30.727413
"54","301-400",1,"2002_03_22",36.6753478
"55","301-400",1,"2002_03_30",31.6939783
"56","301-400",1,"2002_04_07",36.5704565
"57","301-400",1,"2002_04_15",39.8733696
"58","301-400",1,"2002_04_23",32.5319783
"59","301-400",1,"2002_05_01",37.3502174
"60","301-400",1,"2002_05_09",40.5720217
"61","301-400",1,"2002_05_17",40.8833696
"62","301-400",1,"2002_05_25",35.2197174
"63","301-400",1,"2002_06_02",35.8314565
"64","301-400",1,"2002_06_10",35.4232826
"65","301-400",1,"2002_06_18",34.5236522
"66","301-400",1,"2002_06_26",36.2457174
"67","301-400",1,"2002_07_04",31.2526087
"68","301-400",1,"2002_07_12",34.1596087
"69","301-400",1,"2002_07_20",33.0129348
"70","301-400",1,"2002_07_28",32.287
"71","301-400",1,"2002_08_05",40.0222826
"72","301-400",1,"2002_08_13",27.6907391
"73","301-400",1,"2002_08_21",NA
"74","301-400",1,"2002_08_29",28.6497174
"75","301-400",1,"2002_09_06",27.566913
"76","301-400",1,"2002_09_14",28.4008696
"77","301-400",1,"2002_09_22",29.0909565
"78","301-400",1,"2002_09_30",32.212087
"79","301-400",1,"2002_10_08",29.1199783
"80","301-400",1,"2002_10_16",28.0515
"81","301-400",1,"2002_10_24",27.9596522
"82","301-400",1,"2002_11_01",27.2995
"83","301-400",1,"2002_11_09",24.699913
"84","301-400",1,"2002_11_17",25.7674348
"85","301-400",1,"2002_11_25",24.5346957
"86","301-400",1,"2002_12_03",22.7765652
"87","301-400",1,"2002_12_11",21.6449348
"88","301-400",1,"2002_12_19",21.5311087
"89","301-400",1,"2002_12_27",18.7070217
"90","301-400",1,"2003_01_01",15.8332174
"91","301-400",1,"2003_01_09",12.153913
"92","301-400",1,"2003_01_17",15.3776957
"93","301-400",1,"2003_01_25",20.0062826
"94","301-400",1,"2003_02_02",19.076
"95","301-400",1,"2003_02_10",19.9321957
"96","301-400",1,"2003_02_18",21.1872391
"97","301-400",1,"2003_02_26",24.3781304
"98","301-400",1,"2003_03_06",23.3585
"99","301-400",1,"2003_03_14",28.9123696
"100","301-400",1,"2003_03_22",27.8027609
"101","301-400",1,"2003_03_30",32.3651087
"102","301-400",1,"2003_04_07",35.4783913
"103","301-400",1,"2003_04_15",35.2821087
"104","301-400",1,"2003_04_23",36.741087
"105","301-400",1,"2003_05_01",35.5828696
"106","301-400",1,"2003_05_09",38.1234348
"107","301-400",1,"2003_05_17",43.3183043
"108","301-400",1,"2003_05_25",41.874087
"109","301-400",1,"2003_06_02",41.5735652
"110","301-400",1,"2003_06_10",37.4649565
"111","301-400",1,"2003_06_18",34.0002609
"112","301-400",1,"2003_06_26",31.1751304
"113","301-400",1,"2003_07_04",34.2303261
"114","301-400",1,"2003_07_12",29.720662
"115","301-400",1,"2003_07_20",30.300587
"116","301-400",1,"2003_07_28",NA
"117","301-400",1,"2003_08_05",29.8123261
"118","301-400",1,"2003_08_21",28.0967609
"119","301-400",1,"2003_09_06",30.2963478
"120","301-400",1,"2003_09_14",28.4424565
"121","301-400",1,"2003_09_22",29.3002391
"122","301-400",1,"2003_09_30",30.8995652
"123","301-400",1,"2003_10_08",31.5761304
"124","301-400",1,"2003_10_16",30.6726739
"125","301-400",1,"2003_10_24",28.7577391
"126","301-400",1,"2003_11_01",28.3398478
"127","301-400",1,"2003_11_09",25.8735
"128","301-400",1,"2003_11_17",23.6836304
"129","301-400",1,"2003_11_25",23.0558696
"130","301-400",1,"2003_12_03",23.108
"131","301-400",1,"2003_12_11",22.8466522
"132","301-400",1,"2003_12_19",12.8506897
"133","301-400",1,"2003_12_27",13.8569333
"134","301-400",1,"2004_01_01",18.3832174
"135","301-400",1,"2004_01_09",19.7285652
"136","301-400",1,"2004_01_17",17.4954783
"137","301-400",1,"2004_01_25",17.109913
"138","301-400",1,"2004_02_02",18.6914565
"139","301-400",1,"2004_02_10",22.5614565
"140","301-400",1,"2004_02_18",26.0785217
"141","301-400",1,"2004_02_26",28.0004783
"142","301-400",1,"2004_03_05",29.753
"143","301-400",1,"2004_03_13",32.1032826
"144","301-400",1,"2004_03_21",32.6929565
"145","301-400",1,"2004_03_29",35.1806304
"146","301-400",1,"2004_04_06",34.9353043
"147","301-400",1,"2004_04_14",36.7255652
"148","301-400",1,"2004_04_22",37.063
"149","301-400",1,"2004_04_30",36.3930217
"150","301-400",1,"2004_05_08",42.5381304
"151","301-400",1,"2004_05_16",41.9896522
"152","301-400",1,"2004_05_24",37.3603913
"153","301-400",1,"2004_06_01",38.1644565
"154","301-400",1,"2004_06_09",34.7236739
"155","301-400",1,"2004_06_17",34.5239348
"156","301-400",1,"2004_06_25",35.7697174
"157","301-400",1,"2004_07_03",30.9198696
"158","301-400",1,"2004_07_11",30.903587
"159","301-400",1,"2004_07_19",33.9381087
"160","301-400",1,"2004_08_04",30.1085577
"161","301-400",1,"2004_08_12",27.3379138
"162","301-400",1,"2004_08_20",28.5119783
"163","301-400",1,"2004_08_28",30.889
"164","301-400",1,"2004_09_05",31.1016957
"165","301-400",1,"2004_09_13",29.0122391
"166","301-400",1,"2004_09_21",30.8334565
"167","301-400",1,"2004_09_29",31.1401957
"168","301-400",1,"2004_10_07",27.0904565
"169","301-400",1,"2004_10_15",27.0307174
"170","301-400",1,"2004_10_23",26.504087
"171","301-400",1,"2004_10_31",26.3005
"172","301-400",1,"2004_11_08",25.3098478
"173","301-400",1,"2004_11_16",24.2438913
"174","301-400",1,"2004_11_24",21.5024783
"175","301-400",1,"2004_12_02",21.8785652
"176","301-400",1,"2004_12_10",21.8823913
"177","301-400",1,"2004_12_18",18.1233913
"178","301-400",1,"2004_12_26",15.5152609
"179","301-400",1,"2005_01_01",17.4647174
"180","301-400",1,"2005_01_09",19.338413
"181","301-400",1,"2005_01_17",16.4866957
"182","301-400",1,"2005_01_25",15.248913
"183","301-400",1,"2005_02_02",18.3720652
"184","301-400",1,"2005_02_10",21.2583043
"185","301-400",1,"2005_02_18",18.751087
"186","301-400",1,"2005_02_26",23.3163696
"187","301-400",1,"2005_03_06",27.6458478
"188","301-400",1,"2005_03_14",28.0600435
"189","301-400",1,"2005_03_22",28.6214348
"190","301-400",1,"2005_03_30",34.6171957
"191","301-400",1,"2005_04_07",32.9902826
"192","301-400",1,"2005_04_15",36.5415652
"193","301-400",1,"2005_04_23",34.096
"194","301-400",1,"2005_05_01",34.4742174
"195","301-400",1,"2005_05_09",39.7582391
"196","301-400",1,"2005_05_17",39.985413
"197","301-400",1,"2005_05_25",43.3922174
"198","301-400",1,"2005_06_02",45.1461739
"199","301-400",1,"2005_06_10",39.7965435
"200","301-400",1,"2005_06_18",40.1932391
"201","301-400",1,"2005_06_26",30.6824409
"202","301-400",1,"2005_07_04",32.7960217
"203","301-400",1,"2005_07_20",29.1192537
"204","301-400",1,"2005_07_28",28.5799875
"205","301-400",1,"2005_08_05",28.7551522
"206","301-400",1,"2005_08_13",27.2740435
"207","301-400",1,"2005_08_21",29.0923696
"208","301-400",1,"2005_08_29",30.7222609
"209","301-400",1,"2005_09_06",31.1181957
"210","301-400",1,"2005_09_14",29.312587
"211","301-400",1,"2005_09_22",29.559913
"212","301-400",1,"2005_09_30",30.3079565
"213","301-400",1,"2005_10_08",30.0858478
"214","301-400",1,"2005_10_16",29.580087
"215","301-400",1,"2005_10_24",27.9000652
"216","301-400",1,"2005_11_01",26.7251522
"217","301-400",1,"2005_11_09",27.5059565
"218","301-400",1,"2005_11_17",25.4322391
"219","301-400",1,"2005_11_25",22.3944348
"220","301-400",1,"2005_12_03",22.2667826
"221","301-400",1,"2005_12_11",20.9143043
"222","301-400",1,"2005_12_19",19.3780217
"223","301-400",1,"2005_12_27",18.8595435
"224","301-400",1,"2006_01_01",17.2387391
"225","301-400",1,"2006_01_09",20.6883043
"226","301-400",1,"2006_01_17",19.4495217
"227","301-400",1,"2006_01_25",17.1352826
"228","301-400",1,"2006_02_02",25.093587
"229","301-400",1,"2006_02_10",23.4676304
"230","301-400",1,"2006_02_18",31.7666957
"231","301-400",1,"2006_02_26",29.637587
"232","301-400",1,"2006_03_06",27.2303043
"233","301-400",1,"2006_03_14",26.9268696
"234","301-400",1,"2006_03_22",29.9305217
"235","301-400",1,"2006_03_30",32.3643043
"236","301-400",1,"2006_04_07",38.1881957
"237","301-400",1,"2006_04_15",32.6242609
"238","301-400",1,"2006_04_23",37.0451739
"239","301-400",1,"2006_05_01",39.5671522
"240","301-400",1,"2006_05_09",33.3469565
"241","301-400",1,"2006_05_17",34.3214565
"242","301-400",1,"2006_05_25",32.9486739
"243","301-400",1,"2006_06_02",36.6945217
"244","301-400",1,"2006_06_10",35.9759348
"245","301-400",1,"2006_06_18",35.3781522
"246","301-400",1,"2006_06_26",31.325
"247","301-400",1,"2006_07_04",33.1905435
"248","301-400",1,"2006_07_12",29.1010435
"249","301-400",1,"2006_07_20",33.8849091
"250","301-400",1,"2006_07_28",32.6090652
"251","301-400",1,"2006_08_13",33.6086739
"252","301-400",1,"2006_08_21",26.5133696
"253","301-400",1,"2006_08_29",28.5453261
"254","301-400",1,"2006_09_06",29.637087
"255","301-400",1,"2006_09_14",31.4027391
"256","301-400",1,"2006_09_22",33.1149783
"257","301-400",1,"2006_09_30",33.9880217
"258","301-400",1,"2006_10_08",31.8578913
"259","301-400",1,"2006_10_16",31.0712391
"260","301-400",1,"2006_10_24",28.2494348
"261","301-400",1,"2006_11_01",28.8581739
"262","301-400",1,"2006_11_09",27.4998261
"263","301-400",1,"2006_11_17",25.6382826
"264","301-400",1,"2006_11_25",23.722587
"265","301-400",1,"2006_12_03",21.5512174
"266","301-400",1,"2006_12_11",20.2672391
"267","301-400",1,"2006_12_19",22.0536522
"268","301-400",1,"2006_12_27",19.4551304
"269","301-400",1,"2007_01_01",17.9359348
"270","301-400",1,"2007_01_09",18.9660217
"271","301-400",1,"2007_01_17",20.1442609
"272","301-400",1,"2007_01_25",25.9896304
"273","301-400",1,"2007_02_02",23.1093913
"274","301-400",1,"2007_02_10",19.716
"275","301-400",1,"2007_02_18",22.8788696
"276","301-400",1,"2007_02_26",22.6887391
"277","301-400",1,"2007_03_06",23.5376739
"278","301-400",1,"2007_03_14",22.7478913
"279","301-400",1,"2007_03_22",28.5685
"280","301-400",1,"2007_03_30",31.5700435
"281","301-400",1,"2007_04_07",34.4301522
"282","301-400",1,"2007_04_15",36.2311522
"283","301-400",1,"2007_04_23",37.5898478
"284","301-400",1,"2007_05_01",34.807587
"285","301-400",1,"2007_05_09",35.2481957
"286","301-400",1,"2007_05_17",38.0651087
"287","301-400",1,"2007_05_25",40.1702174
"288","301-400",1,"2007_06_02",42.6624783
"289","301-400",1,"2007_06_10",38.5685
"290","301-400",1,"2007_06_18",37.9848043
"291","301-400",1,"2007_06_26",34.3683261
"292","301-400",1,"2007_07_04",29.4954412
"293","301-400",1,"2007_07_12",31.8250652
"294","301-400",1,"2007_07_28",26.7185246
"295","301-400",1,"2007_08_05",33.7992609
"296","301-400",1,"2007_08_13",27.2919565
"297","301-400",1,"2007_08_21",29.451413
"298","301-400",1,"2007_08_29",29.5956957
"299","301-400",1,"2007_09_06",28.9648696
"300","301-400",1,"2007_09_14",31.6531304
"301","301-400",1,"2007_09_22",29.4420435
"302","301-400",1,"2007_09_30",31.9463913
"303","301-400",1,"2007_10_08",32.240413
"304","301-400",1,"2007_10_16",28.0842391
"305","301-400",1,"2007_10_24",29.3941304
"306","301-400",1,"2007_11_01",27.9028913
"307","301-400",1,"2007_11_09",25.9182174
"308","301-400",1,"2007_11_17",25.0372391
"309","301-400",1,"2007_11_25",23.2940652
"310","301-400",1,"2007_12_03",22.0286304
"311","301-400",1,"2007_12_11",17.9890435
